p_id,p_name,p_brand,p_description,p_img_url,p_cost,p_quantity
1,"NELEUS Men Dry Fit Long Sleeve Compression Shirts Workout Running Shirts 3 Pack,Black,US size S",NELEUS,"Neleus Men Dry Fit Long Sleeve Compression Shirts Workout Running Shirts 3 Pack,Black,S",https://i5.walmartimages.com/asr/729ad042-d138-4dee-bce4-263a90b82abe.82c8f3cdb700603a0c8293ac53c0979b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,30.09,35
2,COOPLUS Mens 10 Pairs Athletic Ankle Socks Men's Breathable Low Cut Socks,Cooplus,COOPLUS Mens 10 Pairs Athletic Ankle Socks Men's Breathable Low Cut Socks,https://i5.walmartimages.com/asr/b436d6ff-5b38-4050-88ee-f6e7b62a629b.f2d06a2e5d2b2f539b2788780b0449b1.png?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.99,35
3,"NELEUS Mens Athletic Compression Under Base Layer Sport Tank Top 3 Pack,Black,US size XS",NELEUS,"Neleus Mens Athletic Compression Under Base Layer Sport Tank Top 3 Pack, Black+Black+Black, XSmall",https://i5.walmartimages.com/asr/e4d81446-7041-40de-9c59-0942ed5821cc.7a057b9fbcee21a662660028db076c81.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19.68,34
4,Victorious Men's Casual Slim Fit Stretch Chino Pants,G-Style USA,Victorious Men's Casual Slim Fit Stretch Chino Pants,https://i5.walmartimages.com/asr/fc064123-0dd8-45fe-88b5-08462a4edc7f.355a1c7d627af21418e0decabd572909.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,38.95,11
5,Men's Belted Cotton Cargo Shorts (3-Pack),GBH,Men's Belted Cotton Cargo Shorts (3-Pack),https://i5.walmartimages.com/asr/b134fd51-abb3-40af-97bf-81b40aa135b4.bc9cb458f9cd3903115dbc566334cd6b.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,33.97,23
6,DARESAY [3-Pack] Men's Tech Fleece Joggers Dry Fit Performance Sweatpants  (Up To Size 3XL),Daresay,"YOUR NEW FAVORITE PAIR OF JOGGERS IS HERE TO STAY: Whether theyre for working out at the gym, running, jogging, playing sports, or simply lounging around at home, these tech fleece joggers are about",https://i5.walmartimages.com/asr/f6b46661-b09d-4664-87ec-1bff7342d5e1.e5426bcc35566b87998ccf07dacd2f98.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,35.99,14
7,"George Men\u2019s Pique Polo Shirts, 2-Pack",George,"George Mens Pique Polo Shirts, 2-Pack",https://i5.walmartimages.com/asr/a092007f-b5c0-4c78-bac4-1ceaad44e8ac.7ca49069b7f1ed3795e32f6201c50604.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,15,34
8,"George Men's and Big Men's Crewneck T-Shirt with Short Sleeves, 3-Pack",George,"George Men's and Big Men's Crewneck T-Shirt with Short Sleeves, 3-Pack",https://i5.walmartimages.com/asr/f98b8043-844f-4af0-81e0-f840603d9f6a.2b22ad596996fc8aceb0d042db1e29a2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13,30
9,GBH Men Long Sleeve Thermal Shirts (3-Pack),GBH,Men's Long Sleeve Thermal Shirts (3-Pack),https://i5.walmartimages.com/asr/ed09c5a2-116b-49e7-9afb-f366bf6d1045.bad509068a539e10198f83b42f30c369.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,24.99,31
10,Alimens & Gentle Mens Long Sleeve Red Plaid Flannel Shirts Casual Button Down Regular Fit,Alimens & Gentle,Alimens & Gentle Mens Long Sleeve Red Plaid Flannel Shirts Casual Button Down Regular Fit,https://i5.walmartimages.com/asr/be3bd502-4095-42d7-9d98-8b21fa7e6642.bf615fe4803af4c1f96c8d131689fdb9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.99,22
